,Country,DemoK_4,DemoK_8,DemoK_16,DemoK_32,DemoSpec_16,DemoSpec_32,SocietyK_4,SocietyK_8,SocietyK_16,SocietyK_32,SocietySpec_16,SocietySpec_32,ClimateK_4,ClimateK_8,ClimateK_16,ClimateSpec_16,ClimateSpec_32,ClimateSpec_64,EconomyK_4,EconomyK_8,EconomyK_16,EconomySpec_8,EconomySpec_16,EconomySpec_32,ReligionK_4,ReligionK_8,ReligionK_16,ReligionSpec_16,ReligionSpec_32,ReligionSpec_64,LanguageK_4,LanguageK_8,LanguageSpec_16,LanguageSpec_64,LanguageDBS_3,LanguageDBS_4
178,Portugal,1.0,3.0,2.0,19.0,15.0,12.0,2.0,5.0,5.0,19.0,11.0,5.0,3.0,1.0,4.0,14.0,29.0,28.0,2.0,6.0,6.0,6.0,2.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,6.0,0.0,,0.0
179,Puerto Rico,1.0,3.0,2.0,26.0,15.0,15.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,2.0,0.0,0.0,,,,,,
180,Qatar,3.0,5.0,5.0,4.0,7.0,7.0,2.0,1.0,9.0,27.0,9.0,18.0,2.0,3.0,8.0,6.0,10.0,63.0,2.0,5.0,6.0,6.0,12.0,29.0,0.0,0.0,9.0,2.0,0.0,0.0,0.0,3.0,1.0,3.0,1.0,2.0
181,Republic of Congo,2.0,2.0,11.0,1.0,11.0,8.0,0.0,3.0,4.0,22.0,8.0,15.0,1.0,5.0,7.0,9.0,18.0,2.0,0.0,4.0,8.0,2.0,7.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,4.0,37.0,5.0,1.0
182,Republic of Serbia,1.0,3.0,2.0,26.0,15.0,15.0,2.0,1.0,9.0,20.0,10.0,24.0,3.0,1.0,4.0,14.0,2.0,24.0,0.0,6.0,5.0,0.0,11.0,27.0,1.0,1.0,1.0,2.0,6.0,31.0,0.0,5.0,1.0,22.0,,6.0
183,Romania,1.0,3.0,2.0,26.0,15.0,12.0,2.0,1.0,9.0,20.0,10.0,1.0,3.0,6.0,4.0,14.0,4.0,12.0,0.0,6.0,5.0,6.0,15.0,6.0,1.0,1.0,1.0,2.0,19.0,32.0,0.0,5.0,15.0,53.0,,
184,Russia,1.0,3.0,2.0,0.0,15.0,12.0,2.0,1.0,2.0,24.0,10.0,1.0,3.0,7.0,6.0,2.0,9.0,4.0,0.0,0.0,7.0,2.0,0.0,25.0,1.0,4.0,4.0,9.0,12.0,6.0,0.0,5.0,12.0,9.0,6.0,
185,Rwanda,2.0,2.0,11.0,14.0,1.0,1.0,3.0,0.0,1.0,11.0,12.0,6.0,0.0,4.0,3.0,4.0,31.0,17.0,0.0,3.0,4.0,2.0,13.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,4.0,10.0,38.0,,
186,Saint Barthelemy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,Saint Helena,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,2.0,0.0,0.0,,,,,,
